id,Title,Ingredients,Instructions,Image_Name,Cleaned_Ingredients,Difficulty,Cooking_time,Servings,Cuisine,Calories,Protein,Carbs,Fat,Dietary_tags
1,Classic Margherita Pizza,"2 cups flour, 1 cup tomato sauce, 8 oz mozzarella, 1/4 cup basil, 2 tbsp olive oil, 1 tsp salt, 1 tsp yeast, 1/2 cup water","Mix flour, yeast, salt, and water to make dough. Let rise for 1 hour. Roll out dough and spread tomato sauce. Top with mozzarella and bake at 450°F for 12-15 minutes. Garnish with fresh basil.","margherita-pizza.jpg","flour, tomato sauce, mozzarella, basil, olive oil, salt, yeast, water","Medium",75,4,"Italian",285,12,38,10,"[""Vegetarian""]"
2,Vegetable Stir Fry,"2 cups mixed vegetables, 1 tbsp soy sauce, 2 cloves garlic, 1 tbsp ginger, 1 tbsp sesame oil, 1/2 cup tofu, 2 tbsp vegetable oil","Heat oil in wok. Add garlic and ginger, stir for 30 seconds. Add vegetables and stir fry for 5 minutes. Add tofu and soy sauce. Cook for 2 more minutes.","vegetable-stir-fry.jpg","mixed vegetables, soy sauce, garlic, ginger, sesame oil, tofu, vegetable oil","Easy",15,2,"Asian",220,12,18,12,"[""Vegetarian"", ""Vegan""]"
3,Chicken Curry,"1 lb chicken, 1 onion, 2 tomatoes, 2 tbsp curry powder, 1 cup coconut milk, 2 cloves garlic, 1 tbsp oil, salt to taste","Heat oil and sauté onions until golden. Add garlic and curry powder. Add chicken and cook for 5 minutes. Add tomatoes and coconut milk. Simmer for 20 minutes.","chicken-curry.jpg","chicken, onion, tomatoes, curry powder, coconut milk, garlic, oil, salt","Medium",35,4,"Indian",320,28,12,18,"[""Gluten-Free""]"
4,Quinoa Salad,"1 cup quinoa, 2 cups water, 1 cucumber, 1 tomato, 1/4 cup olives, 2 tbsp lemon juice, 2 tbsp olive oil, salt, pepper","Cook quinoa in water for 15 minutes. Let cool. Chop vegetables and mix with quinoa. Add lemon juice, olive oil, salt, and pepper.","quinoa-salad.jpg","quinoa, water, cucumber, tomato, olives, lemon juice, olive oil, salt, pepper","Easy",20,4,"Mediterranean",280,10,35,12,"[""Vegetarian"", ""Vegan"", ""Gluten-Free""]"
5,Bean Burrito,"1 can black beans, 4 tortillas, 1 cup rice, 1 avocado, 1/2 cup salsa, 1/2 cup cheese, 1/4 cup sour cream","Heat beans and rice. Warm tortillas. Spread beans and rice on tortilla. Add avocado, salsa, cheese, and sour cream. Roll tightly.","bean-burrito.jpg","black beans, tortillas, rice, avocado, salsa, cheese, sour cream","Easy",15,4,"Mexican",380,15,45,16,"[""Vegetarian""]"
6,Gluten-Free Pancakes,"1 cup almond flour, 2 eggs, 1/2 cup milk, 1 tbsp honey, 1 tsp baking powder, 1/2 tsp vanilla, butter for cooking","Mix dry ingredients. Add wet ingredients and whisk. Heat butter in pan. Pour batter and cook until bubbles form. Flip and cook for 1 minute.","gluten-free-pancakes.jpg","almond flour, eggs, milk, honey, baking powder, vanilla, butter","Easy",20,2,"American",320,12,25,18,"[""Gluten-Free""]"
7,Vegan Buddha Bowl,"1 cup quinoa, 1 sweet potato, 1 cup chickpeas, 2 cups spinach, 1 avocado, 2 tbsp tahini, 1 lemon, salt, pepper","Roast sweet potato cubes at 400°F for 20 minutes. Cook quinoa. Arrange quinoa, sweet potato, chickpeas, and spinach in bowl. Top with avocado and tahini dressing.","buddha-bowl.jpg","quinoa, sweet potato, chickpeas, spinach, avocado, tahini, lemon, salt, pepper","Medium",35,2,"Fusion",420,15,55,20,"[""Vegan"", ""Gluten-Free""]"
8,Mediterranean Salad,"2 cups lettuce, 1 cucumber, 1 tomato, 1/4 cup feta, 1/4 cup olives, 2 tbsp olive oil, 1 tbsp lemon juice, oregano","Chop vegetables and combine in bowl. Add feta and olives. Whisk olive oil, lemon juice, and oregano for dressing. Toss and serve.","mediterranean-salad.jpg","lettuce, cucumber, tomato, feta, olives, olive oil, lemon juice, oregano","Easy",10,2,"Mediterranean",180,6,8,14,"[""Vegetarian"", ""Gluten-Free""]"
9,Spaghetti Carbonara,"8 oz spaghetti, 4 slices bacon, 2 eggs, 1/2 cup parmesan, 2 cloves garlic, black pepper, salt","Cook spaghetti. Fry bacon until crispy. Whisk eggs with parmesan. Combine hot pasta with bacon, then quickly mix with egg mixture. Add pepper.","spaghetti-carbonara.jpg","spaghetti, bacon, eggs, parmesan, garlic, black pepper, salt","Medium",25,3,"Italian",450,22,52,18,"[]"
10,Vegetable Soup,"2 carrots, 2 celery stalks, 1 onion, 4 cups vegetable broth, 1 cup potatoes, 1 cup green beans, 2 tbsp tomato paste","Chop vegetables. Sauté onion, carrots, and celery. Add broth and remaining vegetables. Simmer for 30 minutes. Season to taste.","vegetable-soup.jpg","carrots, celery, onion, vegetable broth, potatoes, green beans, tomato paste","Easy",40,4,"American",150,4,25,4,"[""Vegetarian"", ""Vegan"", ""Gluten-Free""]"
11,Grilled Salmon,"2 salmon fillets, 1 lemon, 2 tbsp olive oil, 2 cloves garlic, dill, salt, pepper","Marinate salmon in olive oil, garlic, and dill for 30 minutes. Grill for 4-6 minutes per side. Squeeze lemon juice before serving.","grilled-salmon.jpg","salmon, lemon, olive oil, garlic, dill, salt, pepper","Easy",40,2,"American",280,34,2,16,"[""Gluten-Free"", ""Dairy-Free""]"
12,Chocolate Avocado Mousse,"2 avocados, 1/4 cup cocoa powder, 1/4 cup maple syrup, 1 tsp vanilla, pinch of salt","Blend all ingredients until smooth. Chill for 2 hours. Serve with berries or whipped cream.","chocolate-mousse.jpg","avocados, cocoa powder, maple syrup, vanilla, salt","Easy",140,2,"Dessert",320,4,28,22,"[""Vegan"", ""Gluten-Free"", ""Dairy-Free""]"
13,Chicken Noodle Soup,"1 lb chicken, 8 cups chicken broth, 2 carrots, 2 celery, 1 onion, 2 cups noodles, thyme, salt, pepper","Cook chicken in broth. Remove and shred. Add vegetables and simmer for 20 minutes. Add noodles and cook until tender. Return chicken to pot.","chicken-noodle-soup.jpg","chicken, chicken broth, carrots, celery, onion, noodles, thyme, salt, pepper","Easy",45,6,"American",220,18,22,8,"[]"
